,Rank,X_class,Region,Start_time,Max_time,End_time
0,1,X28+,0486,2003-11-04 19:29:00,2003-11-04 19:53:00,2003-11-04 20:06:00
1,2,X20+,9393,2001-04-02 21:32:00,2001-04-02 21:51:00,2001-04-02 22:03:00
2,3,X17.2+,0486,2003-10-28 09:51:00,2003-10-28 11:10:00,2003-10-28 11:24:00
3,4,X17+,0808,2005-09-07 17:17:00,2005-09-07 17:40:00,2005-09-07 18:03:00
4,5,X14.4,9415,2001-04-15 13:19:00,2001-04-15 13:50:00,2001-04-15 13:55:00
5,6,X10,0486,2003-10-29 20:37:00,2003-10-29 20:49:00,2003-10-29 21:01:00
6,7,X9.4,8100,1997-11-06 11:49:00,1997-11-06 11:55:00,1997-11-06 12:01:00
7,8,X9.3,2673,2017-09-06 11:53:00,2017-09-06 12:02:00,2017-09-06 12:10:00
8,9,X9,0930,2006-12-05 10:18:00,2006-12-05 10:35:00,2006-12-05 10:45:00
9,10,X8.3,0486,2003-11-02 17:03:00,2003-11-02 17:25:00,2003-11-02 17:39:00
10,11,X8.2,2673,2017-09-10 15:35:00,2017-09-10 16:06:00,2017-09-10 16:31:00
11,12,X7.1,0720,2005-01-20 06:36:00,2005-01-20 07:01:00,2005-01-20 07:26:00
12,13,X6.9,1263,2011-08-09 07:48:00,2011-08-09 08:05:00,2011-08-09 08:08:00
13,14,X6.5,0930,2006-12-06 18:29:00,2006-12-06 18:47:00,2006-12-06 19:00:00
14,15,X6.2,0808,2005-09-09 19:13:00,2005-09-09 20:04:00,2005-09-09 20:36:00
15,16,X6.2,9733,2001-12-13 14:20:00,2001-12-13 14:30:00,2001-12-13 14:35:00
16,17,X5.7,9077,2000-07-14 10:03:00,2000-07-14 10:24:00,2000-07-14 10:43:00
17,18,X5.6,9415,2001-04-06 19:10:00,2001-04-06 19:21:00,2001-04-06 19:31:00
18,19,X5.4,1429,2012-03-07 00:02:00,2012-03-07 00:24:00,2012-03-07 00:40:00
19,20,X5.4,0808,2005-09-08 20:52:00,2005-09-08 21:06:00,2005-09-08 21:17:00
20,21,X5.4,0486,2003-10-23 08:19:00,2003-10-23 08:35:00,2003-10-23 08:49:00
21,22,X5.3,9591,2001-08-25 16:23:00,2001-08-25 16:45:00,2001-08-25 17:04:00
22,23,X4.9,1990,2014-02-25 00:39:00,2014-02-25 00:49:00,2014-02-25 01:03:00
23,24,X4.9,8307,1998-08-18 22:10:00,1998-08-18 22:19:00,1998-08-18 22:28:00
24,25,X4.8,0039,2002-07-23 00:18:00,2002-07-23 00:35:00,2002-07-23 00:47:00
25,26,X4,9236,2000-11-26 16:34:00,2000-11-26 16:48:00,2000-11-26 16:56:00
26,27,X3.9,0488,2003-11-03 09:43:00,2003-11-03 09:55:00,2003-11-03 10:19:00
27,28,X3.9,8307,1998-08-19 21:35:00,1998-08-19 21:45:00,1998-08-19 21:50:00
28,29,X3.8,0720,2005-01-17 06:59:00,2005-01-17 09:52:00,2005-01-17 10:07:00
29,30,X3.7,8384,1998-11-22 06:30:00,1998-11-22 06:42:00,1998-11-22 06:49:00
30,31,X3.6,0808,2005-09-09 09:42:00,2005-09-09 09:59:00,2005-09-09 10:08:00
31,32,X3.6,0649,2004-07-16 13:49:00,2004-07-16 13:55:00,2004-07-16 14:01:00
32,33,X3.6,0365,2003-05-28 00:17:00,2003-05-28 00:27:00,2003-05-28 00:39:00
33,34,X3.4,0930,2006-12-13 02:14:00,2006-12-13 02:40:00,2006-12-13 02:57:00
34,35,X3.4,9767,2001-12-28 20:02:00,2001-12-28 20:45:00,2001-12-28 21:32:00
35,36,X3.3,1890,2013-11-05 22:07:00,2013-11-05 22:12:00,2013-11-05 22:15:00
36,37,X3.3,0039,2002-07-20 21:04:00,2002-07-20 21:30:00,2002-07-20 21:54:00
37,38,X3.3,8395,1998-11-28 04:54:00,1998-11-28 05:52:00,1998-11-28 06:13:00
38,39,X3.2,1748,2013-05-14 00:00:00,2013-05-14 01:11:00,2013-05-14 01:20:00
39,40,X3.1,2192,2014-10-24 21:07:00,2014-10-24 21:41:00,2014-10-24 22:13:00
40,41,X3.1,0069,2002-08-24 00:49:00,2002-08-24 01:12:00,2002-08-24 01:31:00
41,42,X3,0030,2002-07-15 19:59:00,2002-07-15 20:08:00,2002-07-15 20:14:00
42,43,X2.8,1748,2013-05-13 15:48:00,2013-05-13 16:05:00,2013-05-13 16:16:00
43,44,X2.8,9733,2001-12-11 07:58:00,2001-12-11 08:08:00,2001-12-11 08:14:00
44,45,X2.8,8307,1998-08-18 08:14:00,1998-08-18 08:24:00,1998-08-18 08:32:00
45,46,X2.7,2339,2015-05-05 22:05:00,2015-05-05 22:11:00,2015-05-05 22:15:00
46,47,X2.7,0488,2003-11-03 01:09:00,2003-11-03 01:30:00,2003-11-03 01:45:00
47,48,X2.7,8210,1998-05-06 07:58:00,1998-05-06 08:09:00,1998-05-06 08:20:00
48,49,X2.6,0720,2005-01-15 22:25:00,2005-01-15 23:02:00,2005-01-15 23:31:00
49,50,X2.6,9632,2001-09-24 09:32:00,2001-09-24 10:38:00,2001-09-24 11:09:00
